"證券代碼	簡稱	年月日	收盤價(元)"
"0056   	元大高股息   	20080926	    10.0800"
"0056   	元大高股息   	20080930	     9.6216"
"0056   	元大高股息   	20081001	     9.8197"
"0056   	元大高股息   	20081002	     9.7687"
"0056   	元大高股息   	20081003	     9.8593"
"0056   	元大高股息   	20081006	     9.4574"
"0056   	元大高股息   	20081007	     9.5820"
"0056   	元大高股息   	20081008	     9.0839"
"0056   	元大高股息   	20081009	     8.8292"
"0056   	元大高股息   	20081013	     8.6028"
"0056   	元大高股息   	20081014	     9.2028"
"0056   	元大高股息   	20081015	     8.9198"
"0056   	元大高股息   	20081016	     8.6085"
"0056   	元大高股息   	20081017	     8.3764"
"0056   	元大高股息   	20081020	     8.2972"
"0056   	元大高股息   	20081021	     8.3425"
"0056   	元大高股息   	20081022	     8.0708"
"0056   	元大高股息   	20081023	     7.7991"
"0056   	元大高股息   	20081024	     7.5275"
"0056   	元大高股息   	20081027	     7.1030"
"0056   	元大高股息   	20081028	     7.5784"
"0056   	元大高股息   	20081029	     7.5784"
"0056   	元大高股息   	20081030	     8.1048"
"0056   	元大高股息   	20081031	     8.2915"
"0056   	元大高股息   	20081103	     8.5236"
"0056   	元大高股息   	20081104	     8.6028"
"0056   	元大高股息   	20081105	     8.5745"
"0056   	元大高股息   	20081106	     7.9802"
"0056   	元大高股息   	20081107	     8.2066"
"0056   	元大高股息   	20081110	     8.2010"
"0056   	元大高股息   	20081111	     8.1500"
"0056   	元大高股息   	20081112	     7.9802"
"0056   	元大高股息   	20081113	     7.5954"
"0056   	元大高股息   	20081114	     7.9463"
"0056   	元大高股息   	20081117	     7.8388"
"0056   	元大高股息   	20081118	     7.5841"
"0056   	元大高股息   	20081119	     7.5897"
"0056   	元大高股息   	20081120	     7.2728"
"0056   	元大高股息   	20081121	     7.3464"
"0056   	元大高股息   	20081124	     7.1596"
"0056   	元大高股息   	20081125	     7.3294"
"0056   	元大高股息   	20081126	     7.3577"
"0056   	元大高股息   	20081127	     7.6520"
"0056   	元大高股息   	20081128	     7.6124"
"0056   	元大高股息   	20081201	     7.7539"
"0056   	元大高股息   	20081202	     7.4369"
"0056   	元大高股息   	20081203	     7.4143"
"0056   	元大高股息   	20081204	     7.2954"
"0056   	元大高股息   	20081205	     7.2445"
"0056   	元大高股息   	20081208	     7.6407"
"0056   	元大高股息   	20081209	     7.6463"
"0056   	元大高股息   	20081210	     7.9519"
"0056   	元大高股息   	20081211	     7.9519"
"0056   	元大高股息   	20081212	     7.5727"
"0056   	元大高股息   	20081215	     7.8671"
"0056   	元大高股息   	20081216	     7.8105"
"0056   	元大高股息   	20081217	     7.8671"
"0056   	元大高股息   	20081218	     7.9237"
"0056   	元大高股息   	20081219	     8.0029"
"0056   	元大高股息   	20081222	     7.6973"
"0056   	元大高股息   	20081223	     7.4426"
"0056   	元大高股息   	20081224	     7.4709"
"0056   	元大高股息   	20081225	     7.4596"
"0056   	元大高股息   	20081226	     7.5161"
"0056   	元大高股息   	20081229	     7.4652"
"0056   	元大高股息   	20081230	     7.7312"
"0056   	元大高股息   	20081231	     7.6350"
"0056   	元大高股息   	20090105	     7.8784"
"0056   	元大高股息   	20090106	     7.9463"
"0056   	元大高股息   	20090107	     8.0821"
"0056   	元大高股息   	20090108	     7.7029"
"0056   	元大高股息   	20090109	     7.6973"
"0056   	元大高股息   	20090110	     7.7539"
"0056   	元大高股息   	20090112	     7.7539"
"0056   	元大高股息   	20090113	     7.8105"
"0056   	元大高股息   	20090114	     7.7539"
"0056   	元大高股息   	20090115	     7.4709"
"0056   	元大高股息   	20090116	     7.4765"
"0056   	元大高股息   	20090117	     7.6124"
"0056   	元大高股息   	20090119	     7.5275"
"0056   	元大高股息   	20090120	     7.4652"
"0056   	元大高股息   	20090121	     7.4313"
"0056   	元大高股息   	20090202	     7.4652"
"0056   	元大高股息   	20090203	     7.5727"
"0056   	元大高股息   	20090204	     7.6407"
"0056   	元大高股息   	20090205	     7.7199"
"0056   	元大高股息   	20090206	     7.8105"
"0056   	元大高股息   	20090209	     7.8897"
"0056   	元大高股息   	20090210	     7.9519"
"0056   	元大高股息   	20090211	     8.0368"
"0056   	元大高股息   	20090212	     7.8105"
"0056   	元大高股息   	20090213	     8.0312"
"0056   	元大高股息   	20090216	     7.9802"
"0056   	元大高股息   	20090217	     7.8784"
"0056   	元大高股息   	20090218	     7.8671"
"0056   	元大高股息   	20090219	     7.9689"
"0056   	元大高股息   	20090220	     7.8105"
